Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35086,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),11:15,05h 45m,17:00,3.9,INR 670,43 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3580,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,05h 45m,18:00,3.9,INR 670,43 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 24256,INDRA(A.C. Seater),12:30,05h 30m,18:00,3.0,INR 528,30 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 7648,Super Luxury (Non AC Seater 2+2 Push Back),09:30,04h 30m,14:00,4.2,INR 320,33 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 64362,Super Luxury (Non AC Seater 2+2 Push Back),09:30,04h 30m,14:00,3.6,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8978,Super Luxury (Non AC Seater 2+2 Push Back),09:40,03h 55m,13:35,3.9,INR 320,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8818,Super Luxury (Non AC Seater 2+2 Push Back),09:20,06h 10m,15:30,3.7,INR 320,30 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64009,Rajdhani (AC Semi Sleeper 2+2),09:20,03h 40m,13:00,3.4,INR 389,35 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64825,Super Luxury (Non AC Seater 2+2 Push Back),09:20,04h 10m,13:30,4.5,INR 320,23 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 7647,,09:30,05h 50m,15:20,3.8,INR 320,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,,,,,,,,
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1944,Deluxe (Non AC Seater 2+2),09:20,06h 15m,15:35,4.6,INR 390,28 Seats available
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1364,Super Luxury (Non AC Seater 2+2 Push Back),09:40,06h 00m,15:40,4.2,INR 442,31 Seats available
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9496,Deluxe (Non AC Seater 2+2),09:40,08h 20m,18:00,3.1,INR 390,35 Seats available
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TSRTC - 7177,RAJDHANI (A.C. Semi Sleeper),09:30,03h 00m,12:30,4.0,INR 343,30 Seats available
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TSRTC - 7268,Super Luxury (Non AC Seater 2+2 Push Back),09:45,03h 05m,12:50,3.8,INR 283,31 Seats available
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TSRTC - 7091,Super Luxury (Non AC Seater 2+2 Push Back),10:40,03h 00m,13:40,4.2,INR 283,29 Seats available
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,TSRTC - 9374,Super Luxury (Non AC Seater 2+2 Push Back),09:30,04h 30m,14:00,3.3,INR 283,33 Seats available
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,TSRTC - 7176,RAJDHANI (A.C. Semi Sleeper),09:30,03h 00m,12:30,4.5,INR 343,33 Seats available
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,TSRTC - 7791,Super Luxury (Non AC Seater 2+2 Push Back),09:35,04h 00m,13:35,3.3,INR 283,30 Seats available
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,TSRTC - 8024,Super Luxury (Non AC Seater 2+2 Push Back),09:20,04h 50m,14:10,3.8,INR 429,17 Seats available
Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,TSRTC - 8055,LAHARI A/C SLEEPER CUM SEATER,09:30,06h 25m,15:55,2.1,INR 520,42 Seats available
Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,TSRTC - 8183,Super Luxury (Non AC Seater 2+2 Push Back),09:50,05h 10m,15:00,3.1,INR 429,30 Seats available
Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,,,,,,,,
Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,,,,,,,,
